i,ID,MIG.grey,Aniso.grey,Timestamp,DateAndTime,PLOT,CAM
140,WSCT0142.JPG,0.206706002,0.954483826,22/06/2016 14:21,2015:06:14 09:00:01,LADERA,3
141,WSCT0143.JPG,0.208818736,0.967513298,22/06/2016 14:21,2015:06:14 10:00:01,LADERA,3
142,WSCT0144.JPG,0.193245462,0.951999943,22/06/2016 14:21,2015:06:14 11:00:01,LADERA,3
143,WSCT0145.JPG,0.212277554,0.949598668,22/06/2016 14:22,2015:06:14 12:00:01,LADERA,3
144,WSCT0146.JPG,0.188080359,0.963155422,22/06/2016 14:22,2015:06:14 13:00:01,LADERA,3
145,WSCT0147.JPG,0.20387518,0.967623598,22/06/2016 14:22,2015:06:14 14:00:01,LADERA,3
146,WSCT0148.JPG,0.205719688,0.967162317,22/06/2016 14:22,2015:06:15 09:00:01,LADERA,3
147,WSCT0149.JPG,0.198495878,0.926770052,22/06/2016 14:23,2015:06:15 10:00:01,LADERA,3
148,WSCT0150.JPG,0.211940924,0.961777976,22/06/2016 14:23,2015:06:15 11:00:01,LADERA,3
149,WSCT0151.JPG,0.205995807,0.941785961,22/06/2016 14:23,2015:06:15 12:00:01,LADERA,3
150,WSCT0152.JPG,0.201020494,0.979723242,22/06/2016 14:24,2015:06:15 13:00:01,LADERA,3
151,WSCT0153.JPG,0.184054892,0.982792311,22/06/2016 14:24,2015:06:15 14:00:01,LADERA,3
152,WSCT0154.JPG,0.19729123,0.96136311,22/06/2016 14:24,2015:06:16 09:00:01,LADERA,3
153,WSCT0155.JPG,0.204404693,0.957734673,22/06/2016 14:25,2015:06:16 10:00:01,LADERA,3
154,WSCT0156.JPG,0.201033684,0.953400726,22/06/2016 14:25,2015:06:16 11:00:01,LADERA,3
155,WSCT0157.JPG,0.200793017,0.966119207,22/06/2016 14:25,2015:06:16 12:00:01,LADERA,3
156,WSCT0158.JPG,0.199747279,0.97169483,22/06/2016 14:25,2015:06:16 13:00:01,LADERA,3
157,WSCT0159.JPG,0.194822501,0.982298066,22/06/2016 14:26,2015:06:16 14:00:01,LADERA,3
158,WSCT0160.JPG,0.216621271,0.95674163,22/06/2016 14:26,2015:06:17 09:00:01,LADERA,3
159,WSCT0161.JPG,0.181936286,0.981498128,22/06/2016 14:26,2015:06:17 10:00:01,LADERA,3
160,WSCT0162.JPG,0.211087403,0.981831796,22/06/2016 14:27,2015:06:17 11:00:01,LADERA,3
161,WSCT0163.JPG,0.202451765,0.964541632,22/06/2016 14:27,2015:06:17 12:00:01,LADERA,3
162,WSCT0164.JPG,0.215723474,0.979743154,22/06/2016 14:27,2015:06:17 13:00:01,LADERA,3
163,WSCT0165.JPG,0.247784657,0.971107097,22/06/2016 14:28,2015:06:17 14:00:01,LADERA,3
164,WSCT0166.JPG,0.197278034,0.9610268,22/06/2016 14:28,2015:06:18 09:00:01,LADERA,3
165,WSCT0167.JPG,0.196806133,0.930782221,22/06/2016 14:28,2015:06:18 10:00:01,LADERA,3
166,WSCT0168.JPG,0.212381848,0.957221298,22/06/2016 14:29,2015:06:18 11:00:01,LADERA,3
167,WSCT0169.JPG,0.189027072,0.96372885,22/06/2016 14:29,2015:06:18 12:00:01,LADERA,3
168,WSCT0170.JPG,0.208460438,0.976833033,22/06/2016 14:29,2015:06:18 13:00:01,LADERA,3
169,WSCT0171.JPG,0.189232855,0.984582283,22/06/2016 14:29,2015:06:18 14:00:01,LADERA,3
170,WSCT0172.JPG,0.199369557,0.957101384,22/06/2016 14:30,2015:06:19 09:00:01,LADERA,3
171,WSCT0173.JPG,0.198528641,0.960042511,22/06/2016 14:30,2015:06:19 10:00:01,LADERA,3
172,WSCT0174.JPG,0.194482618,0.952026152,22/06/2016 14:30,2015:06:19 11:00:01,LADERA,3
173,WSCT0175.JPG,0.199230798,0.959063735,22/06/2016 14:31,2015:06:19 12:00:01,LADERA,3
174,WSCT0176.JPG,0.190002643,0.966353182,22/06/2016 14:31,2015:06:19 13:00:01,LADERA,3
175,WSCT0177.JPG,0.177594794,0.967573406,22/06/2016 14:31,2015:06:19 14:00:01,LADERA,3
176,WSCT0178.JPG,0.170408518,0.957474887,22/06/2016 14:32,2015:06:20 09:00:01,LADERA,3
177,WSCT0179.JPG,0.193972057,0.927821002,22/06/2016 14:32,2015:06:20 10:00:01,LADERA,3
178,WSCT0180.JPG,0.197776511,0.959617546,22/06/2016 14:32,2015:06:20 11:00:01,LADERA,3
179,WSCT0181.JPG,0.194190484,0.950744819,22/06/2016 14:32,2015:06:20 12:00:01,LADERA,3
180,WSCT0182.JPG,0.189283214,0.968506718,22/06/2016 14:33,2015:06:20 13:00:01,LADERA,3
181,WSCT0183.JPG,0.180988507,0.981447502,22/06/2016 14:33,2015:06:20 14:00:01,LADERA,3
182,WSCT0184.JPG,0.223698186,0.969163053,22/06/2016 14:33,2015:06:21 09:00:01,LADERA,3
183,WSCT0185.JPG,0.207677114,0.954995862,22/06/2016 14:34,2015:06:21 10:00:01,LADERA,3
184,WSCT0186.JPG,0.238406195,0.968779241,22/06/2016 14:34,2015:06:21 11:00:01,LADERA,3
